rowid,user,ts,ts converted,new ts,,channel,text,agreeableness,conscientiousness,extraversion,openness,adventurer,advocate,architect,campaigner,commander,consul,debater,defender,entertainer,entrepreneur,executive,logician,logistician,mediator,protagonist,virtuoso,anger,fear,joy,sadness,surprise,final_sentiment
14,U0WDYEG6S,31/03/2016 0:04,31/03/2016 21:51,31/03/2016 21:51,21,General,u wfhmem made u admin,0.437314897,0.460441602,0.74436272,0.357339703,0.01460746,0.00362364,0.004917444,0.062332473,0.057391401,0.115669852,0.084587997,0.009910893,0.170483398,0.231353716,0.156969234,0.007247719,0.013449532,0.005340808,0.042291437,0.019822987,0.146683514,0.129199833,0.225843415,0.183378547,0.314894736,0.463896275
15,U0WDYEG6S,31/03/2016 0:04,31/03/2016 21:52,31/03/2016 21:52,21,General,convert chris martin join,0.494553829,0.433474925,0.499856936,0.504160059,0.094455205,0.044858658,0.041865965,0.069889538,0.037930573,0.049764149,0.06522694,0.054927305,0.085576434,0.079867303,0.046444193,0.0719944,0.051262894,0.077140754,0.040641953,0.088153737,0.126844242,0.181570873,0.300546199,0.233367473,0.157671198,0.891934395
16,U0WDYEG6S,31/03/2016 0:04,31/03/2016 21:52,31/03/2016 21:52,21,General,simple smile njoi,0.608194046,0.558218488,0.557091241,0.182237518,0.114609859,0.005768846,0.002851389,0.008088437,0.004581056,0.210991323,0.003997902,0.131327428,0.184132791,0.091012,0.10428746,0.002488416,0.064911697,0.00503449,0.009268257,0.056648642,0.141647175,0.200643942,0.359082133,0.132351115,0.16627571,0.93936193
17,U0WEAA087,31/03/2016 5:01,1/04/2016 2:49,1/04/2016 2:49,21,General,hey duhita thanks,0.481585714,0.430830682,0.506236672,0.537450427,0.079164915,0.047764806,0.048906197,0.075505858,0.046154762,0.044603134,0.077310151,0.047262071,0.074711143,0.076496445,0.045668975,0.081918859,0.048391449,0.080007006,0.045077585,0.081056646,0.159300417,0.197812736,0.1608309,0.14648807,0.335567832,0.861290336
18,U0WEAA087,31/03/2016 5:02,1/04/2016 2:49,1/04/2016 2:49,21,General,look like working fine,0.449640512,0.46850877,0.536160298,0.447707582,0.071648082,0.030940046,0.037308021,0.058992225,0.048622692,0.063826984,0.071133803,0.048974221,0.093377309,0.112595909,0.076963641,0.054580718,0.059053928,0.045264527,0.040323455,0.086394446,0.174513325,0.093358114,0.182704002,0.147422254,0.402002335,0.868041754
19,U0WEAA087,31/03/2016 5:03,1/04/2016 2:51,1/04/2016 2:51,21,General,rest team sign create additional start discussion happening,0.477933563,0.49796232,0.508107548,0.441158611,0.07419616,0.042735824,0.045591296,0.054148226,0.050086252,0.070674457,0.057766238,0.064331826,0.081511339,0.086957667,0.075396702,0.052582047,0.068630274,0.049288731,0.046949253,0.079153711,0.063689321,0.708062053,0.162216678,0.046697468,0.019334523,0.736536026
20,U0X443CKZ,1/04/2016 0:07,1/04/2016 21:55,1/04/2016 21:55,21,General,chris garces joined,0.542618461,0.484288056,0.532362618,0.40664903,0.093871451,0.040384113,0.030103535,0.058302196,0.036030204,0.093144584,0.043460215,0.077823075,0.112352503,0.083750943,0.06943278,0.036311371,0.058011667,0.04871197,0.048334783,0.06997461,0.134750679,0.193140924,0.191726267,0.148833662,0.331548452,0.595537066
21,U0X443CKZ,1/04/2016 0:07,1/04/2016 21:55,1/04/2016 21:55,21,General,chris garces joined,0.542618461,0.484288056,0.532362618,0.40664903,0.093871451,0.040384113,0.030103535,0.058302196,0.036030204,0.093144584,0.043460215,0.077823075,0.112352503,0.083750943,0.06943278,0.036311371,0.058011667,0.04871197,0.048334783,0.06997461,0.134750679,0.193140924,0.191726267,0.148833662,0.331548452,0.595537066
22,U0X443CKZ,1/04/2016 1:02,1/04/2016 22:49,1/04/2016 22:49,21,General,chris garces uploaded Happy share pasted image pm commented tried different apis microsoft cognitive like seen far result computer vision api,0.442153851,0.445190914,0.486779534,0.596762444,0.05386917,0.057039672,0.075466101,0.071619715,0.065275639,0.032098383,0.094756167,0.0371094,0.04659502,0.061647348,0.042467631,0.109548961,0.049097437,0.082800578,0.049337398,0.071271381,0.268853605,0.156993732,0.167351991,0.370285034,0.036515668,0.43457225
23,U0X443CKZ,1/04/2016 1:02,1/04/2016 22:50,1/04/2016 22:50,21,General,feature feature name value description type caption text man blue shirt tie confidence tag name person confidence name man confidence name shirt confidence name glass confidence name indoor confidence name posing confidence name blue confidence name close confidence name staring confidence image format jpeg image dimension x clip art type non clipart line drawing type non linedrawing black amp white image unknown adult content false adult score racy content false racy score category name people portrait score face age gender male facerectangle width height left top dominant color background dominant color foreground dominant color accent color,0.444018598,0.487976347,0.549966387,0.477512966,0.051297843,0.036464455,0.048224481,0.063125577,0.070927617,0.064100156,0.08348399,0.043582413,0.075447857,0.099780285,0.084772877,0.056761699,0.057638027,0.042919787,0.053631203,0.067841733,0.334247649,0.062425151,0.116870932,0.303384542,0.183071718,0.096721999
